date,n_accidents
2015-1-27,188
2013-12-25,257
2016-2-15,289
2014-12-25,303
2016-2-14,309
2015-11-1,312
2017-12-25,316
2014-1-5,320
2015-12-25,321
2015-1-11,341
2016-6-14,343
2014-3-2,344
2014-12-28,349
2015-10-31,357
2013-3-9,357
2014-1-20,360
2014-7-4,360
2015-2-1,361
2016-12-25,365
2017-5-29,368
2017-3-14,373
2014-11-30,377
2014-11-27,378
2014-1-19,380
2015-1-4,380
2015-11-26,383
2016-2-27,388
2014-1-12,388
2015-7-4,389
2014-9-1,392
2014-4-20,393
2016-12-26,393
2017-1-8,393
2014-11-29,394
2015-12-26,394
2013-12-29,394
2015-2-8,394
2016-1-1,394
2015-6-13,395
2015-1-1,395
2016-6-11,398
2014-1-1,399
2016-1-23,402
2015-2-16,402
2013-10-6,404
2014-3-9,404
2017-1-22,406
2015-1-25,406
2014-12-27,406
2014-12-21,409
2014-12-29,411
2014-3-16,412
2014-2-23,414
2013-11-3,415
2013-3-10,415
2014-2-2,417
2014-1-4,418
2014-11-9,419
2016-9-5,419
2015-5-25,420
2013-5-27,420
2013-12-1,420
2017-1-29,422
2015-4-5,422
2016-1-2,422
2017-7-4,422
2013-6-30,423
2014-1-3,423
2016-2-7,423
2014-2-8,424
2017-2-5,424
2013-3-26,425
2014-11-23,425
2017-2-20,426
2013-3-17,426
2013-3-31,426
2014-3-23,427
2015-1-24,428
2016-11-24,428
2013-12-26,428
2014-11-16,429
2013-11-28,429
2017-2-12,430
2016-3-13,431
2015-11-22,431
2013-9-2,431
2015-3-22,432
2015-5-24,432
2014-5-26,433
2016-1-3,433
2016-4-24,434
2015-2-14,436
2017-2-19,436
2013-11-29,436
2014-3-30,437
2014-8-24,437
2013-4-2,437
2013-7-4,438
2014-7-13,439
2014-12-14,439
2014-3-3,439
2013-4-28,440
2013-10-14,440
2017-1-2,440
2013-3-27,441
2013-8-18,442
2015-1-2,442
2015-4-12,443
2014-11-28,444
2016-7-3,444
2017-12-3,445
2014-12-26,446
2014-2-13,447
2013-7-21,447
2014-1-18,448
2014-4-27,449
2015-2-7,449
2016-3-27,450
2013-12-15,450
2014-2-9,450
2016-1-17,451
2013-3-24,451
2014-7-20,451
2015-7-25,451
2014-10-13,451
2013-4-7,451
2014-5-4,451
2014-7-6,451
2015-6-12,451
2014-4-15,452
2015-4-7,452
2015-4-9,452
2015-2-15,453
2017-3-26,453
2015-11-29,453
2017-12-24,453
2014-8-23,454
2013-8-4,454
2013-5-26,455
2016-11-25,455
2017-11-25,455
2013-12-8,456
2013-11-11,456
2015-1-3,456
2017-2-26,457
2015-4-8,457
2015-1-28,458
2015-3-15,458
2015-3-28,459
2014-4-22,459
2013-8-25,459
2013-8-19,462
2014-12-31,462
2016-6-5,462
2016-1-10,462
2017-11-23,463
2016-11-26,463
2016-12-31,463
2014-2-16,464
2015-3-8,464
2014-1-26,465
2013-12-31,465
2014-1-11,465
2016-9-4,465
2016-3-20,466
2016-11-27,466
2015-7-5,467
2014-2-5,468
2017-6-4,468
2017-4-30,469
2017-5-28,469
2016-5-30,469
2014-12-30,469
2017-1-21,471
2015-4-19,471
2013-4-21,471
2013-7-14,471
2013-10-19,471
2013-4-14,472
2014-5-25,472
2015-11-8,472
2017-1-16,473
2014-10-12,473
2017-2-22,474
2014-3-25,474
2013-11-10,474
2014-1-25,475
2016-2-26,475
2017-5-27,475
2014-6-15,475
2013-12-28,475
2013-7-7,475
2014-7-27,476
2014-8-17,476
2013-9-15,476
2013-12-27,476
2013-12-30,476
2014-8-3,476
2017-4-16,477
2015-4-26,477
2013-6-16,477
2014-6-22,477
2014-9-7,477
2017-2-21,478
2016-4-26,478
2015-9-13,478
2013-11-30,479
2013-4-1,479
2016-10-9,479
2016-2-13,480
2016-4-25,480
2014-7-19,480
2013-8-31,480
2017-11-26,480
2015-11-27,480
2013-9-1,480
2017-1-1,480
2016-1-18,481
2017-4-17,481
2013-8-11,481
2015-1-10,481
2017-3-5,481
2016-2-21,482
2014-4-13,482
2013-8-28,482
2016-5-1,482
2016-12-4,482
2014-10-19,483
2015-1-26,484
2014-4-6,484
2017-1-15,485
2013-7-28,485
2015-12-6,485
2015-9-7,485
2016-7-4,485
2014-5-24,486
2015-4-10,486
2016-10-2,486
2017-1-14,487
2013-6-2,487
2013-3-23,488
2016-4-28,488
2015-8-9,489
2015-7-24,490
2014-8-16,490
2013-10-20,490
2015-12-28,490
2016-10-3,490
2014-2-17,491
2014-9-25,491
2014-3-5,491
2014-1-7,491
2014-8-12,491
2015-4-3,491
2016-6-12,491
2015-8-23,492
2013-8-3,492
2014-3-22,493
2017-4-15,493
2017-8-27,493
2015-9-27,493
2014-10-18,493
2013-9-5,493
2014-12-7,493
2014-11-11,493
2016-4-10,493
2017-1-28,494
2017-10-15,494
2013-11-24,494
2017-11-24,494
2015-1-17,495
2015-1-21,495
2014-8-31,495
2017-12-30,495
2013-8-10,495
2015-1-19,496
2014-4-18,496
2013-10-5,497
2014-3-1,497
2016-7-9,497
2014-1-22,498
2017-3-18,498
2013-3-25,498
2015-1-5,498
2016-9-3,498
2016-10-12,498
2014-10-9,499
2017-2-9,499
2015-1-20,500
2015-11-15,500
2015-12-20,500
2013-9-8,500
2015-11-7,500
2016-3-6,500
2015-9-23,501
2016-10-16,501
2015-12-30,501
2016-2-8,501
2016-7-10,501
2013-10-13,502
2017-2-11,503
2014-1-28,504
2013-8-17,504
2015-9-6,504
2015-3-29,505
2015-6-20,505
2013-6-23,505
2014-12-20,505
2013-12-22,505
2014-7-5,505
2014-10-5,505
2015-10-12,505
2015-1-14,506
2015-3-21,506
2013-5-18,506
2015-6-15,506
2013-7-25,506
2013-8-27,506
2013-9-29,506
2017-7-9,506
2017-12-10,506
2015-3-14,507
2013-3-21,507
2014-5-18,507
2014-2-1,507
2015-4-4,507
2015-1-22,508
2014-4-17,508
2016-4-27,508
2017-7-29,508
2015-11-28,508
2013-8-7,508
2016-2-28,509
2016-5-15,509
2015-4-6,509
2017-5-7,509
2014-8-30,510
2013-11-5,510
2014-3-11,510
2014-1-27,511
2014-2-26,511
2014-2-25,512
2017-4-23,512
2016-8-21,512
2014-9-28,512
2013-10-27,512
2014-11-22,512
2014-8-10,512
2017-4-2,512
2013-3-30,513
2014-4-14,513
2017-4-18,513
2013-4-23,513
2017-7-16,513
2014-3-10,513
2017-9-3,513
2013-5-25,514
2017-11-5,514
2017-3-12,514
2015-2-19,515
2017-4-14,515
2016-4-29,515
2014-9-21,515
2014-10-25,515
2014-10-26,515
2013-12-24,515
2013-5-5,515
2014-3-8,515
2014-3-12,515
2017-8-6,515
2014-2-15,516
2013-7-27,516
2014-8-19,516
2013-9-26,516
2014-6-8,516
2016-1-24,517
2015-2-21,517
2013-4-27,517
2013-7-6,517
2013-4-11,517
2017-4-11,517
2014-2-18,518
2016-11-13,518
2015-12-27,518
2014-1-6,518
2015-1-29,519
2015-2-22,519
2014-3-15,519
2014-3-17,519
2016-3-19,519
2013-9-14,519
2015-10-24,519
2016-12-18,519
2014-12-24,519
2013-8-12,519
2014-4-2,519
2017-10-8,519
2013-3-29,520
2017-10-22,520
2013-12-4,520
2014-1-16,521
2013-3-16,521
2014-4-21,521
2016-8-14,521
2013-8-26,521
2017-12-26,521
2013-3-11,521
2015-7-12,521
2016-12-11,521
2016-3-26,522
2014-8-15,522
2015-10-25,522
2017-8-12,522
2013-5-11,523
2016-10-4,523
2017-9-4,523
2013-9-6,524
2016-2-17,525
2014-3-19,525
2015-3-26,525
2016-11-20,525
2015-1-31,526
2014-4-19,526
2014-7-29,526
2015-2-12,526
2017-9-10,526
2013-8-24,527
2017-12-29,527
2015-12-31,527
2013-5-12,527
2015-3-17,528
2014-9-14,528
2014-6-9,528
2015-3-16,529
2016-6-13,529
2016-7-31,529
2014-11-15,529
2013-10-9,529
2014-3-28,530
2017-8-20,530
2017-9-21,530
2015-11-11,530
2017-12-9,530
2013-4-6,531
2014-3-4,531
2014-10-4,531
2016-11-6,531
2016-1-31,532
2016-2-19,532
2015-3-27,532
2013-4-20,532
2013-5-15,532
2013-11-17,532
2013-4-3,532
2014-11-2,532
2015-12-29,533
2013-6-9,533
2014-3-7,533
2014-4-7,533
2017-7-2,533
2013-6-13,534
2014-7-26,534
2016-10-23,534
2013-4-17,535
2015-6-28,535
2016-9-18,535
2013-11-23,535
2017-11-12,535
2014-4-23,536
2013-9-19,536
2015-10-4,536
2016-9-11,536
2017-3-4,536
2014-6-29,537
2016-2-10,537
2017-10-9,537
2017-4-12,537
2017-2-27,538
2015-2-28,538
2015-3-25,538
2014-3-27,538
2014-5-28,538
2014-8-27,538
2014-11-4,538
2014-8-9,538
2015-1-7,538
2017-2-4,538
2015-2-26,539
2014-7-24,539
2015-8-29,539
2013-9-25,539
2013-12-10,539
2016-10-10,539
2017-4-9,539
2017-1-30,540
2013-3-20,540
2016-3-25,540
2013-10-22,540
2016-12-29,540
2014-8-2,540
2015-5-2,540
2016-8-7,540
2015-4-14,541
2017-4-24,541
2014-10-10,541
2015-9-5,541
2016-1-7,541
2016-11-9,541
2017-1-5,541
2017-1-18,542
2013-8-20,542
2013-8-6,542
2015-5-17,543
2017-9-30,543
2014-11-8,543
2013-5-19,544
2013-8-5,544
2017-3-11,544
2014-2-21,545
2014-3-13,545
2017-3-19,545
2015-7-19,545
2015-8-8,545
2015-1-15,546
2013-9-21,546
2016-12-28,546
2014-10-11,546
2014-11-12,546
2015-3-18,547
2014-3-24,547
2017-4-22,547
2015-5-23,547
2013-9-28,547
2017-12-17,547
2013-3-12,547
2015-2-9,547
2014-4-26,548
2013-10-16,548
2017-12-23,548
2013-3-28,549
2014-8-25,549
2015-12-13,549
2013-12-2,549
2013-8-8,549
2014-4-1,549
2014-5-10,549
2015-8-2,549
2015-7-3,549
2015-5-10,549
2013-9-3,550
2013-7-11,550
2014-7-12,550
2014-3-18,551
2014-7-16,551
2013-7-20,551
2017-7-23,551
2015-7-26,551
2014-8-20,551
2015-10-18,551
2017-12-27,551
2013-11-2,551
2015-6-4,551
2014-2-19,552
2013-8-13,552
2015-8-16,552
2013-4-18,553
2013-7-31,553
2013-9-27,553
2013-12-3,553
2014-9-6,553
2016-2-6,553
2016-1-9,553
2017-2-6,553
2015-4-13,554
2017-8-13,554
2014-11-5,554
2015-9-12,554
2016-12-10,554
2017-9-2,554
2016-2-20,555
2013-4-13,555
2014-4-29,555
2015-5-31,555
2014-12-17,555
2016-12-24,555
2015-5-3,555
2016-4-9,555
2014-2-20,556
2015-3-30,556
2015-9-20,556
2014-10-29,556
2013-10-12,556
2015-10-3,556
2017-1-26,557
2013-3-14,557
2016-4-17,557
2016-6-19,557
2014-6-21,557
2014-7-21,557
2016-8-28,557
2015-9-26,557
2015-9-29,557
2016-10-30,557
2014-1-14,558
2015-4-27,558
2014-9-13,558
2013-10-23,558
2013-10-30,558
2014-10-2,558
2014-3-6,558
2013-3-19,559
2014-3-31,559
2013-5-16,559
2013-10-10,559
2014-10-1,559
2015-6-7,559
2015-10-11,559
2017-1-24,560
2014-1-31,560
2015-4-16,560
2014-5-13,560
2016-5-21,560
2014-11-10,560
2015-5-9,560
2016-5-29,561
2015-7-18,561
2013-5-6,561
2014-1-9,561
2013-8-21,562
2017-8-26,562
2017-10-14,562
2014-8-6,562
2017-10-1,562
2015-1-16,563
2016-1-16,563
2014-3-26,563
2015-8-30,563
2014-6-12,563
2017-1-31,564
2013-4-16,564
2016-7-24,564
2013-4-22,565
2013-5-14,565
2015-10-17,565
2014-5-6,565
2015-3-11,565
2016-7-2,565
2017-10-7,565
2015-5-18,566
2016-5-22,566
2014-7-14,566
2014-9-24,566
2014-9-29,566
2016-10-25,566
2014-12-22,566
2013-4-4,566
2017-2-25,567
2017-3-25,567
2014-8-21,567
2013-12-7,567
2015-7-9,567
2014-1-13,568
2017-2-18,568
2015-4-22,568
2014-8-22,568
2015-5-6,568
2017-2-1,568
2017-1-25,569
2014-2-24,569
2014-3-29,569
2017-8-15,569
2016-12-27,569
2014-12-3,569
2014-6-5,569
2014-2-6,569
2014-7-9,569
2014-6-10,569
2015-2-5,569
2016-8-1,569
2016-5-7,569
2017-3-1,569
2015-3-20,570
2014-4-16,570
2013-4-19,570
2013-5-22,570
2013-9-16,570
2017-12-2,570
2017-8-5,570
2014-2-27,571
2016-7-17,571
2013-7-23,571
2013-7-24,571
2013-9-18,571
2015-9-22,571
2014-10-28,571
2017-11-19,571
2013-6-8,571
2013-11-9,571
2015-2-10,571
2016-3-7,571
2016-2-9,571
2014-5-19,572
2014-8-13,572
2013-8-29,572
2016-9-25,573
2016-10-24,573
2013-12-5,573
2015-1-8,573
2015-2-23,574
2013-5-29,574
2013-10-17,574
2017-12-28,574
2013-10-8,574
2015-3-4,574
2017-1-4,574
2014-5-21,575
2013-7-13,575
2015-8-24,575
2017-8-28,575
2014-10-15,575
2013-7-5,575
2015-12-9,575
2013-4-30,576
2013-5-13,576
2015-6-14,576
2017-10-21,576
2013-5-1,576
2014-6-11,576
2015-4-11,576
2016-4-3,576
2017-1-27,577
2017-4-19,577
2013-8-22,577
2013-9-11,577
2016-4-30,578
2016-6-26,578
2017-9-20,578
2014-4-12,578
2015-3-7,578
2015-12-12,578
2016-8-6,578
2017-2-23,579
2015-8-15,579
2015-9-14,579
2015-9-15,579
2013-8-9,579
2014-12-8,579
2016-2-3,579
2015-2-24,580
2016-8-20,580
2013-5-4,580
2013-4-10,580
2014-9-3,580
2014-4-5,580
2015-1-12,580
2013-7-15,581
2015-8-22,581
2017-9-17,581
2014-5-12,581
2016-10-1,581
2015-3-19,582
2013-7-16,582
2017-9-24,582
2013-4-5,582
2013-4-8,582
2014-6-4,582
2017-7-8,582
2014-1-15,583
2013-4-25,583
2017-6-25,583
2013-7-9,583
2017-4-5,583
2017-2-28,584
2013-7-30,584
2016-12-30,584
2014-5-9,584
2014-7-10,584
2014-5-11,584
2015-3-10,584
2017-2-2,584
2014-3-14,585
2013-9-22,585
2015-9-25,585
2016-10-17,585
2013-5-2,585
2013-9-7,585
2014-8-7,585
2015-2-4,585
2017-1-10,585
2015-3-23,586
2017-3-28,586
2014-4-24,586
2016-5-14,586
2015-9-28,586
2015-3-12,586
2016-11-12,586
2014-2-22,587
2014-5-31,587
2014-7-15,587
2014-7-17,587
2014-7-22,587
2016-5-2,587
2017-4-1,587
2017-7-25,588
2016-4-2,588
2014-1-17,589
2014-3-21,589
2017-4-13,589
2014-9-30,589
2014-8-4,589
2016-5-8,589
2017-6-18,590
2016-10-18,590
2013-10-3,590
2014-5-3,590
2017-1-6,590
2016-3-17,591
2015-4-25,591
2013-6-29,591
2013-7-22,591
2014-7-23,591
2014-10-20,591
2016-2-18,592
2015-8-17,592
2014-9-23,592
2013-11-13,592
2013-5-7,592
2014-4-3,592
2014-9-9,592
2016-12-3,592
2014-5-22,593
2015-6-16,593
2017-7-1,593
2017-8-14,594
2017-8-16,594
2015-8-19,594
2015-8-25,594
2014-9-20,594
2014-12-13,594
2013-12-21,594
2014-7-8,594
2016-3-15,595
2015-4-15,595
2015-6-27,595
2014-7-28,595
2014-8-18,595
2014-4-9,595
2013-6-15,596
2014-5-8,596
2015-10-5,596
2017-4-4,596
2016-1-14,597
2016-1-30,597
2014-4-28,597
2013-4-29,597
2013-7-29,597
2015-11-21,597
2015-7-11,597
2015-1-23,598
2013-4-24,598
2013-6-27,598
2014-9-8,598
2015-6-6,598
2015-7-6,598
2017-10-12,598
2017-1-13,599
2017-2-15,599
2013-6-22,599
2016-7-30,599
2013-8-15,599
2013-8-30,599
2014-11-25,599
2013-6-5,599
2013-7-12,599
2016-7-7,599
2016-9-10,599
2017-1-20,600
2015-8-20,600
2014-9-27,600
2013-10-29,600
2013-11-19,600
2016-8-2,600
2015-3-24,601
2016-7-13,601
2013-7-2,601
2014-8-8,601
2015-8-11,601
2016-1-4,601
2016-3-5,601
2017-2-3,601
2017-3-8,601
2017-1-19,602
2017-8-29,602
2014-10-16,602
2013-5-9,602
2016-1-8,602
2017-9-6,602
2017-8-7,602
2017-9-9,602
2016-3-16,603
2013-4-15,603
2017-7-30,603
2015-12-24,603
2014-1-2,603
2014-5-7,603
2015-7-2,603
2013-3-22,604
2013-9-4,604
2014-6-1,604
2014-8-11,604
2017-11-1,604
2016-1-13,605
2015-4-18,605
2017-7-27,605
2014-7-30,605
2013-9-30,605
2013-6-6,605
2013-12-11,605
2016-3-22,606
2015-7-21,606
2017-8-18,606
2015-8-26,606
2014-12-4,606
2014-8-5,606
2014-4-8,606
2016-5-10,606
2017-11-4,606
2013-3-15,607
2016-3-21,607
2015-5-19,607
2014-10-21,607
2017-10-28,607
2013-11-20,607
2013-12-19,607
2016-2-5,607
2017-3-10,607
2015-3-13,608
2013-6-28,608
2014-8-26,608
2017-10-29,608
2016-3-23,609
2014-6-30,609
2013-7-17,609
2015-8-28,609
2017-9-22,609
2014-4-11,609
2016-2-4,609
2016-7-8,609
2017-7-6,609
2017-5-20,610
2015-7-15,610
2014-9-15,610
2015-2-11,610
2017-3-6,610
2014-6-28,611
2013-11-18,611
2015-11-30,611
2015-12-21,611
2014-12-2,611
2015-8-10,611
2014-1-23,612
2017-3-22,612
2015-4-23,612
2017-5-21,612
2014-6-14,612
2017-8-31,612
2016-9-24,612
2013-11-16,612
2015-11-2,612
2017-8-2,612
2015-1-13,613
2016-2-16,613
2015-4-28,613
2013-6-18,613
2014-9-16,613
2015-11-14,613
2013-6-4,613
2013-4-9,613
2014-2-4,613
2013-6-17,614
2016-8-13,614
2015-8-27,614
2015-8-31,614
2017-9-16,614
2016-10-29,614
2013-7-10,614
2014-7-7,614
2017-7-3,614
2016-2-22,615
2015-5-21,615
2015-6-18,615
2013-9-24,615
2013-10-15,615
2013-10-31,615
2013-6-12,615
2015-11-9,615
2016-4-6,615
2016-2-29,616
2016-3-24,616
2013-10-21,616
2013-10-1,616
2014-7-1,616
2014-1-8,616
2015-11-6,616
2017-11-11,616
2014-4-25,617
2017-7-24,617
2013-7-26,617
2013-11-15,617
2013-7-8,617
2016-4-11,617
2015-7-22,618
2017-8-23,618
2014-8-28,618
2015-11-16,618
2013-10-7,618
2014-5-5,618
2014-9-10,618
2015-12-8,618
2016-8-10,618
2016-7-11,618
2014-5-17,619
2016-5-17,619
2016-9-20,619
2015-9-24,619
2014-9-11,619
2015-8-5,619
2015-2-17,620
2015-6-21,620
2017-8-21,620
2013-10-28,620
2013-11-14,620
2013-5-8,620
2014-10-7,620
2015-7-8,620
2016-11-8,620
2017-1-11,620
2015-2-20,621
2016-5-28,621
2013-6-26,621
2016-7-16,621
2016-9-21,621
2014-12-18,621
2013-10-11,621
2015-1-30,622
2016-2-23,622
2017-4-26,622
2015-5-30,622
2014-6-16,622
2013-6-19,622
2015-6-30,622
2015-7-23,622
2013-8-14,622
2017-8-24,622
2016-8-30,622
2016-9-26,622
2014-4-4,622
2016-2-11,622
2016-3-12,622
2016-1-20,623
2013-3-18,623
2015-8-18,623
2016-12-17,623
2014-6-7,623
2015-12-3,623
2017-4-8,623
2017-10-11,623
2017-4-20,624
2014-7-18,624
2016-8-27,624
2015-9-21,624
2016-9-29,624
2017-11-18,624
2015-12-19,624
2013-6-10,624
2016-6-4,624
2016-5-5,624
2016-1-6,624
2017-2-7,624
2017-3-27,625
2014-8-14,625
2014-11-3,625
2016-3-3,625
2015-2-18,626
2016-3-14,626
2015-7-27,626
2014-7-31,626
2013-10-26,626
2014-10-30,626
2013-8-2,626
2015-9-1,626
2016-11-5,626
2016-9-6,626
2016-4-7,626
2014-3-20,627
2013-9-17,627
2015-2-25,628
2015-3-31,628
2017-8-25,628
2017-9-23,628
2015-11-18,628
2013-11-21,628
2014-12-6,628
2016-2-12,628
2017-8-8,628
2017-4-10,628
2015-7-29,629
2016-10-22,629
2013-9-10,629
2015-12-5,629
2015-8-6,629
2016-3-10,629
2015-4-20,630
2017-5-14,630
2016-12-13,630
2017-7-11,630
2016-3-18,631
2017-3-21,631
2017-8-17,631
2017-8-19,631
2014-8-29,631
2013-9-20,631
2015-10-27,631
2017-11-27,631
2013-6-1,631
2015-3-3,631
2015-10-6,631
2016-3-8,631
2016-8-8,631
2014-6-24,632
2013-10-24,632
2013-9-9,632
2017-7-17,633
2017-7-26,633
2014-11-19,633
2013-7-1,633
2016-10-8,633
2017-6-3,633
2017-3-7,633
2015-9-30,634
2017-10-16,634
2014-11-20,634
2015-6-8,634
2016-6-9,634
2016-4-12,634
2017-2-13,635
2017-2-16,635
2017-3-30,635
2016-8-18,635
2016-8-24,635
2013-7-3,635
2013-11-6,635
2013-6-11,635
2016-12-8,635
2017-5-8,635
2013-3-13,636
2014-5-14,636
2013-7-18,636
2013-8-23,636
2014-2-11,636
2017-1-12,636
2016-6-15,637
2016-8-23,637
2016-9-28,637
2015-12-14,637
2015-5-5,637
2015-11-12,637
2016-12-7,637
2016-1-12,637
2017-5-1,637
2017-12-6,638
2016-4-23,639
2017-5-24,639
2014-10-23,639
2017-11-14,639
2013-12-9,639
2014-10-6,639
2014-10-8,639
2015-4-30,640
2013-12-16,640
2014-2-12,640
2015-5-4,640
2016-1-5,640
2017-1-3,640
2016-6-23,641
2016-8-16,641
2016-10-15,641
2014-11-7,641
2014-7-11,641
2016-5-9,641
2016-3-31,642
2017-5-30,642
2017-10-25,642
2014-10-27,642
2017-11-28,642
2015-5-1,642
2015-6-2,642
2017-10-6,642
2016-3-30,643
2015-7-28,643
2016-8-15,643
2014-9-26,643
2017-12-19,643
2013-8-1,643
2014-6-2,643
2015-9-4,643
2015-8-12,643
2014-6-23,644
2016-9-17,644
2014-12-1,644
2017-4-3,644
2017-8-10,644
2016-1-29,645
2015-4-21,645
2014-5-27,645
2014-12-16,645
2014-12-9,645
2014-4-10,645
2015-5-11,645
2017-3-15,646
2014-6-25,646
2017-7-15,646
2017-7-22,646
2013-11-7,646
2015-7-7,646
2017-3-2,646
2016-5-23,647
2016-7-23,647
2013-10-25,647
2016-11-28,647
2013-10-2,647
2013-11-12,647
2014-9-5,647
2017-6-1,647
2017-5-9,647
2017-8-9,647
2013-6-25,648
2014-9-19,648
2014-10-17,648
2013-12-12,648
2015-4-1,648
2016-9-7,648
2016-9-12,648
2017-1-17,649
2014-1-29,649
2015-5-16,649
2013-4-12,649
2014-12-10,649
2015-10-10,649
2014-5-20,650
2014-5-30,650
2014-9-18,650
2017-10-26,650
2017-12-16,650
2014-5-1,650
2015-3-2,650
2016-8-9,650
2017-10-5,650
2016-3-28,651
2014-4-30,651
2016-5-4,651
2017-6-5,651
2017-8-11,651
2017-6-17,652
2013-9-13,652
2017-9-26,652
2017-10-13,652
2014-12-19,652
2014-11-6,652
2015-2-6,652
2015-6-9,652
2017-1-9,652
2017-2-24,653
2017-3-24,653
2014-7-25,653
2017-7-31,653
